C1,C2,C3,C4,C5,C6,C7,I1,I2,I3,FC1,FC2,FC3,FC4, CBs, CNs, IBs, INs
2,1,4,5,3,7,6,1,2,3,CC-R,II-R,CI-L,IC-L,CC CB-2 - CI CB-1,CC CN-1 - IC CN-2,II IB-2 - IC IB-1,II IN-2 - CI IN-1
3,1,2,4,6,5,7,2,1,3,II-L,CC-R,IC-R,CI-L,CC CB-2 - CI CB-1,CC CN-1 - IC CN-2,II IB-1 - IC IB-2,II IN-1 - CI IN-2
3,4,7,5,2,6,1,1,2,3,CI-R,IC-L,II-L,CC-R,CC CB-1 - CI CB-2,CC CN-2 - IC CN-1,II IB-1 - IC IB-2,II IN-2 - CI IN-1
4,6,5,2,3,1,7,2,1,3,II-R,IC-R,CI-L,CC-L,CC CB-2 - CI CB-1,CC CN-1 - IC CN-2,II IB-1 - IC IB-2,II IN-1 - CI IN-2
3,4,7,2,5,6,1,2,1,3,CI-R,II-R,CC-L,IC-L,CC CB-2 - CI CB-1,CC CN-2 - IC CN-1,II IB-2 - IC IB-1,II IN-2 - CI IN-1
6,5,1,2,7,3,4,1,2,3,IC-R,CC-L,CI-R,II-L,CC CB-1 - CI CB-2,CC CN-1 - IC CN-2,II IB-2 - IC IB-1,II IN-1 - CI IN-2
6,2,7,5,3,1,4,3,1,2,CC-R,IC-R,II-L,CI-L,CC CB-1 - CI CB-2,CC CN-1 - IC CN-2,II IB-2 - IC IB-1,II IN-1 - CI IN-2
5,4,3,7,6,1,2,1,3,2,CI-R,CC-L,IC-L,II-R,CC CB-2 - CI CB-1,CC CN-2 - IC CN-1,II IB-1 - IC IB-2,II IN-1 - CI IN-2
1,7,2,5,4,3,6,3,2,1,CI-L,II-R,CC-R,IC-L,CC CB-2 - CI CB-1,CC CN-1 - IC CN-2,II IB-1 - IC IB-2,II IN-1 - CI IN-2
2,3,5,1,7,4,6,1,2,3,CI-R,IC-L,CC-L,II-R,CC CB-2 - CI CB-1,CC CN-2 - IC CN-1,II IB-1 - IC IB-2,II IN-2 - CI IN-1
5,6,4,3,7,1,2,1,2,3,II-R,CI-R,CC-L,IC-L,CC CB-2 - CI CB-1,CC CN-1 - IC CN-2,II IB-1 - IC IB-2,II IN-2 - CI IN-1
1,7,4,2,6,3,5,3,1,2,CC-L,IC-L,CI-R,II-R,CC CB-2 - CI CB-1,CC CN-2 - IC CN-1,II IB-1 - IC IB-2,II IN-2 - CI IN-1
1,6,2,4,5,3,7,3,1,2,II-R,CC-L,IC-L,CI-R,CC CB-2 - CI CB-1,CC CN-1 - IC CN-2,II IB-2 - IC IB-1,II IN-2 - CI IN-1
5,3,2,6,1,7,4,1,3,2,CC-L,IC-L,CI-R,II-R,CC CB-2 - CI CB-1,CC CN-1 - IC CN-2,II IB-2 - IC IB-1,II IN-1 - CI IN-2
1,4,7,6,5,2,3,1,3,2,CC-L,CI-L,II-R,IC-R,CC CB-1 - CI CB-2,CC CN-2 - IC CN-1,II IB-1 - IC IB-2,II IN-2 - CI IN-1
6,3,2,4,1,5,7,1,2,3,IC-R,II-R,CC-L,CI-L,CC CB-1 - CI CB-2,CC CN-2 - IC CN-1,II IB-2 - IC IB-1,II IN-2 - CI IN-1
3,7,2,4,5,6,1,1,3,2,IC-R,II-L,CI-L,CC-R,CC CB-1 - CI CB-2,CC CN-2 - IC CN-1,II IB-2 - IC IB-1,II IN-1 - CI IN-2
1,6,3,7,4,5,2,3,2,1,IC-R,CI-L,CC-L,II-R,CC CB-2 - CI CB-1,CC CN-1 - IC CN-2,II IB-2 - IC IB-1,II IN-2 - CI IN-1
3,1,2,6,4,5,7,1,3,2,CC-L,II-R,CI-L,IC-R,CC CB-2 - CI CB-1,CC CN-2 - IC CN-1,II IB-2 - IC IB-1,II IN-2 - CI IN-1
5,4,6,3,1,7,2,3,1,2,IC-L,CC-R,II-R,CI-L,CC CB-2 - CI CB-1,CC CN-2 - IC CN-1,II IB-2 - IC IB-1,II IN-2 - CI IN-1
1,5,7,3,6,2,4,3,2,1,II-L,CI-R,IC-R,CC-L,CC CB-1 - CI CB-2,CC CN-2 - IC CN-1,II IB-1 - IC IB-2,II IN-2 - CI IN-1
1,4,5,2,7,3,6,2,3,1,CI-L,CC-R,IC-R,II-L,CC CB-1 - CI CB-2,CC CN-2 - IC CN-1,II IB-1 - IC IB-2,II IN-1 - CI IN-2
7,4,5,2,1,6,3,2,1,3,CC-L,IC-R,II-R,CI-L,CC CB-2 - CI CB-1,CC CN-2 - IC CN-1,II IB-1 - IC IB-2,II IN-1 - CI IN-2
3,6,4,2,7,1,5,2,3,1,CI-R,II-L,CC-L,IC-R,CC CB-2 - CI CB-1,CC CN-2 - IC CN-1,II IB-2 - IC IB-1,II IN-2 - CI IN-1
6,2,4,3,1,7,5,1,2,3,CI-R,II-L,IC-L,CC-R,CC CB-2 - CI CB-1,CC CN-2 - IC CN-1,II IB-1 - IC IB-2,II IN-1 - CI IN-2
