Consistent Block 1, Consistent Block 2, Consistent Block 3, Consistent Block 4, Consistent Block 5, Consistent Block 6, Consistent Block 7, Inconsistent Block 1, Inconsistent Block 2, Inconsistent Block 3, FC Task 1, FC Task 2, FC Task 3, FC Task 4
5,1,7,3,6,2,4,3,1,2,IC-R (IB-2 CN-1),CI-L (CB-1 IN-2),CC-R (CB-2 CN-2),II-L (IB-1 IN-1),
1,7,3,2,4,5,6,2,1,3,CC-L (CB-1 CN-2),CI-R (CB-2 IN-2),IC-R (IB-1 CN-1),II-L (IB-2 IN-1),
5,3,4,2,1,7,6,3,1,2,IC-L (IB-2 CN-1),II-R (IB-1 IN-1),CI-R (CB-2 IN-2),CC-L (CB-1 CN-2),
2,3,5,4,6,7,1,3,1,2,CI-L (CB-2 IN-1),CC-R (CB-1 CN-1),IC-R (IB-2 CN-2),II-L (IB-1 IN-2),
5,3,1,2,4,6,7,1,2,3,CC-R (CB-1 CN-1),II-L (IB-2 IN-2),IC-R (IB-1 CN-2),CI-L (CB-2 IN-1),
4,2,3,1,5,6,7,1,3,2,CI-R (CB-1 IN-1),II-R (IB-1 IN-2),CC-L (CB-2 CN-2),IC-L (IB-2 CN-1),
1,6,2,7,4,3,5,1,2,3,CI-R (CB-2 IN-2),IC-R (IB-1 CN-2),CC-L (CB-1 CN-1),II-L (IB-2 IN-1),
1,3,4,2,6,5,7,2,1,3,II-R (IB-2 IN-2),CC-L (CB-1 CN-1),CI-L (CB-2 IN-1),IC-R (IB-1 CN-2),
2,6,1,4,3,7,5,3,2,1,II-L (IB-2 IN-1),CC-R (CB-1 CN-1),IC-R (IB-1 CN-2),CI-L (CB-2 IN-2),
6,7,4,5,1,2,3,1,2,3,IC-L (IB-2 CN-2),CI-R (CB-2 IN-1),CC-R (CB-1 CN-1),II-L (IB-1 IN-2),
7,2,3,1,6,4,5,2,3,1,CI-R (CB-1 IN-1),IC-L (IB-2 CN-1),CC-L (CB-2 CN-2),II-R (IB-1 IN-2),
2,6,3,4,7,5,1,3,1,2,CC-R (CB-2 CN-1),II-L (IB-1 IN-2),IC-L (IB-2 CN-2),CI-R (CB-1 IN-1),
4,2,6,1,3,5,7,2,3,1,CC-L (CB-1 CN-1),CI-R (CB-2 IN-2),II-R (IB-2 IN-1),IC-L (IB-1 CN-2),
5,1,3,4,7,2,6,2,3,1,IC-R (IB-1 CN-1),II-L (IB-2 IN-2),CC-R (CB-1 CN-2),CI-L (CB-2 IN-1),
3,7,1,2,5,4,6,2,3,1,CI-L (CB-1 IN-2),II-R (IB-1 IN-1),CC-R (CB-2 CN-2),IC-L (IB-2 CN-1),
6,7,2,4,3,1,5,3,2,1,II-R (IB-1 IN-2),CI-L (CB-2 IN-1),CC-L (CB-1 CN-1),IC-R (IB-2 CN-2),
4,6,2,1,7,3,5,3,1,2,CI-R (CB-1 IN-2),IC-R (IB-1 CN-1),II-L (IB-2 IN-1),CC-L (CB-2 CN-2),
5,7,4,3,6,1,2,2,3,1,CI-L (CB-1 IN-2),IC-L (IB-2 CN-1),CC-R (CB-2 CN-2),II-R (IB-1 IN-1),
1,4,2,3,7,5,6,3,1,2,CI-L (CB-1 IN-2),CC-R (CB-2 CN-1),II-R (IB-2 IN-1),IC-L (IB-1 CN-2),
2,6,5,3,4,7,1,2,1,3,IC-R (IB-2 CN-2),II-L (IB-1 IN-2),CC-L (CB-2 CN-1),CI-R (CB-1 IN-1),
7,4,2,6,3,1,5,3,2,1,IC-L (IB-2 CN-2),II-L (IB-1 IN-1),CC-R (CB-1 CN-1),CI-R (CB-2 IN-2),
5,4,1,2,3,7,6,1,3,2,II-R (IB-1 IN-2),CC-R (CB-1 CN-2),IC-L (IB-2 CN-1),CI-L (CB-2 IN-1),
5,3,6,1,2,7,4,3,2,1,II-L (IB-1 IN-1),CC-L (CB-2 CN-2),IC-R (IB-2 CN-1),CI-R (CB-1 IN-2),
7,5,1,2,6,4,3,3,1,2,CI-L (CB-1 IN-1),II-R (IB-1 IN-2),IC-R (IB-2 CN-2),CC-L (CB-2 CN-1),
4,1,6,7,3,5,2,3,1,2,IC-R (IB-1 CN-1),CI-L (CB-2 IN-1),II-L (IB-2 IN-2),CC-R (CB-1 CN-2),
